U,V,Y,d,Time,time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,temperature,u,v,speed,direction,system_torque_knm,generator_speed_rpm,degradation,cycle_factor
0.081507229,8.926230353,5.058078175,0.000208311,03/01/2023 21:00,01/04/2024 01:00,34.5,4.5,0,0 days,975,01/04/2024 01:00,30.346024,297.13574,3.8601685,2.4403687,4.566869851,212.300758,140.3056060378625,473.3308699500034,1.0,41.26660650909937
0.291704246,8.926097878,0.975571105,0.000210145,03/01/2023 22:00,01/04/2024 01:00,34.5,4.75,0,0 days,975,01/04/2024 01:00,28.189774,297.2002,3.9822388,2.7626343,4.846686924,214.7505531,158.02568725975308,502.33236605127337,1.0,41.26660650909937
0.14217326,8.711154149,3.023055749,0.000203494,03/01/2023 23:00,01/04/2024 01:00,34.5,5.0,0,0 days,975,01/04/2024 01:00,25.91243,296.917,4.7976685,3.8866577,6.174441765,219.0114112,256.46798025426887,639.9468316950843,1.0,41.26660650909937
0.027943528,8.486472283,11.8045465,0.000295207,04/01/2023 00:00,01/04/2024 01:00,34.25,4.5,0,0 days,975,01/04/2024 01:00,28.748367,297.69824,4.327942,3.6386108,5.654252427,220.054619,215.0741128093691,586.0320760761733,1.0,41.26660650909937
0.078140489,8.083150077,5.430599998,0.000300957,04/01/2023 01:00,01/04/2024 01:00,34.25,4.75,0,0 days,975,01/04/2024 01:00,27.330399,297.5127,4.276184,3.9110718,5.79501788,222.4465758,225.91616875304146,600.6216388036918,1.0,41.26660650909937
0.136215705,7.790495189,3.160779264,0.000294551,04/01/2023 02:00,01/04/2024 01:00,34.25,5.0,0,0 days,975,01/04/2024 01:00,25.400711,296.65918,4.8338013,4.7304077,6.763312207,224.3806298,307.7206388230623,700.9800049115279,1.0,41.26660650909937
0.178066454,7.785751617,1.823011315,0.00030411,04/01/2023 03:00,01/04/2024 01:00,34.0,4.5,0,0 days,975,01/04/2024 01:00,27.00618,297.91504,4.7283325,4.8690796,6.787124898,225.8401887,309.89133742656765,703.448058939722,1.0,41.26660650909937
0.012994351,7.555959484,28.81966096,0.000305363,04/01/2023 04:00,01/04/2024 01:00,34.0,4.75,0,0 days,975,01/04/2024 01:00,26.021805,298.2881,4.5652466,4.626892,6.4999697,225.3842379,284.2237846693581,673.686006546808,1.0,41.26660650909937
0.028025291,8.037195364,14.75832648,0.000301407,04/01/2023 05:00,01/04/2024 01:00,34.0,5.0,0,0 days,975,01/04/2024 01:00,25.236649,297.4795,4.4539185,4.520447,6.346009067,225.4247356,270.9187919932069,657.7288362281731,1.0,41.26660650909937
0.028524876,7.437866906,13.18370373,0.00029512,04/01/2023 06:00,01/04/2024 02:00,37.0,4.5,0,0 days,975,01/04/2024 02:00,66.66481,288.57788,11.499359,1.9728241,11.66736013,189.734865,915.762720618189,1209.2575218220484,1.0,41.26660650909937
0.13466354,32.80134256,2.230009805,3.18e-07,04/01/2023 07:00,01/04/2024 02:00,37.0,4.75,0,0 days,975,01/04/2024 02:00,65.63747,288.88257,11.391937,1.1808319,11.45297309,185.9178632,882.4177478908275,1187.0374878752539,1.0,41.26660650909937
0.050626079,31.51712301,4.184083467,-6.7e-06,04/01/2023 08:00,01/04/2024 02:00,37.0,5.0,0,0 days,975,01/04/2024 02:00,63.25856,289.0017,11.429047,0.104660034,11.4295262,180.5246641,878.8084183760501,1184.6073466329667,1.0,41.26660650909937
0.02987183,30.90083471,8.275924295,0.000108267,04/01/2023 09:00,01/04/2024 02:00,36.75,4.5,0,0 days,975,01/04/2024 02:00,74.53981,288.8318,3.9397888,1.3273163,4.157367478,198.61869,116.27185000699833,430.8882077129738,1.0,41.26660650909937
0.354158484,34.02086683,1.210723538,9.34e-05,04/01/2023 10:00,01/04/2024 02:00,36.75,4.75,0,0 days,975,01/04/2024 02:00,70.805435,289.31616,4.1106873,0.73161316,4.175285367,190.091735,117.2762527141761,432.74529803398013,1.0,41.26660650909937
0.274275408,24.60088471,0.970454815,0.000108603,04/01/2023 11:00,01/04/2024 02:00,36.75,5.0,0,0 days,975,01/04/2024 02:00,64.94997,289.38647,3.7835388,0.023605347,3.783612436,180.3574614,96.3054893318102,392.1505591318235,1.0,41.26660650909937
0.132496263,23.28909676,2.339067555,0.000101913,04/01/2023 12:00,01/04/2024 02:00,36.5,4.5,0,0 days,975,01/04/2024 02:00,77.53981,289.08374,0.36068726,-0.32112122,0.482922496,138.3212076,0.0,0.0,1.0,41.26660650909937
0.299944965,18.39253829,1.116044135,9.79e-05,04/01/2023 13:00,01/04/2024 02:00,36.5,4.75,0,0 days,975,01/04/2024 02:00,70.461685,289.73608,0.24838257,-0.6463165,0.692400837,111.0220103,0.0,0.0,1.0,41.26660650909937
0.064393143,18.38164661,5.087718417,9.93e-05,04/01/2023 14:00,01/04/2024 02:00,36.5,5.0,0,0 days,975,01/04/2024 02:00,64.18434,289.98804,-0.49673462,-0.6502228,0.818251167,52.62215325,0.0,0.0,1.0,41.26660650909937
0.014881227,17.84451817,22.61166754,9.89e-05,04/01/2023 15:00,01/04/2024 02:00,36.25,4.5,0,0 days,975,01/04/2024 02:00,66.910904,290.3318,0.77182007,-1.3250275,1.533428869,120.2205271,0.0,0.0,1.0,41.26660650909937
0.061196033,16.08518713,5.744611723,9.8e-05,04/01/2023 16:00,01/04/2024 02:00,36.25,4.75,0,0 days,975,01/04/2024 02:00,57.71559,291.4021,0.22201538,-1.2371368,1.256900271,100.1739488,0.0,0.0,1.0,41.26660650909937
0.032230097,16.64649463,11.59242341,9.94e-05,04/01/2023 17:00,01/04/2024 02:00,36.25,5.0,0,0 days,975,01/04/2024 02:00,52.824966,292.1521,-0.35708618,-0.794754,0.871288965,65.80542406,0.0,0.0,1.0,41.26660650909937
0.021637624,17.22579019,17.04767971,0.000102982,04/01/2023 18:00,01/04/2024 02:00,36.0,4.5,0,0 days,975,01/04/2024 02:00,49.69606,292.99194,0.09408569,-1.5164337,1.519349625,93.55031134,0.0,0.0,1.0,41.26660650909937
0.141261243,16.30391309,2.666134203,9.71e-05,04/01/2023 19:00,01/04/2024 02:00,36.0,4.75,0,0 days,975,01/04/2024 02:00,44.12184,294.3806,-0.58657837,-0.50471497,0.773829041,40.70999047,0.0,0.0,1.0,41.26660650909937
0.140032957,14.91169321,2.050636029,9.96e-05,04/01/2023 20:00,01/04/2024 02:00,36.0,5.0,0,0 days,975,01/04/2024 02:00,43.203873,294.87476,-0.64907837,0.45915222,0.795061942,324.7247541,0.0,0.0,1.0,41.26660650909937
0.140118041,13.33819379,2.225118992,9.64e-05,04/01/2023 21:00,01/04/2024 02:00,35.75,4.5,0,0 days,975,01/04/2024 02:00,37.344498,294.46655,1.6995544,-1.0789337,2.013102851,147.5912605,0.0,0.0,1.0,41.26660650909937
0.065817582,12.90189445,5.136691488,0.00010436,04/01/2023 22:00,01/04/2024 02:00,35.75,4.75,0,0 days,975,01/04/2024 02:00,34.606216,296.0974,0.014984131,0.4620819,0.462324785,268.1426956,0.0,0.0,1.0,41.26660650909937
0.122032892,11.91756082,3.247430554,0.000102184,04/01/2023 23:00,01/04/2024 02:00,35.75,5.0,0,0 days,975,01/04/2024 02:00,36.055435,296.14038,-0.41763306,1.7111053,1.761334358,283.7161356,0.0,0.0,1.0,41.26660650909937
0.067942892,12.5052,5.18055253,0.000104441,05/01/2023 00:00,01/04/2024 02:00,35.5,4.5,0,0 days,975,01/04/2024 02:00,35.469498,294.06226,4.8440857,-0.21076965,4.848668901,177.5085909,158.1549580069189,502.53778710230216,1.0,41.26660650909937
0.157219063,11.13932437,2.692957719,9.7e-05,05/01/2023 01:00,01/04/2024 02:00,35.5,4.75,0,0 days,975,01/04/2024 02:00,30.086685,296.07007,1.9212341,1.2013397,2.265912077,212.0175708,0.0,0.0,1.0,41.26660650909937
0.045840471,12.5892843,8.047897127,0.000200206,05/01/2023 02:00,01/04/2024 02:00,35.5,5.0,0,0 days,975,01/04/2024 02:00,29.629654,296.4685,-0.2574768,2.243332,2.258059513,276.5474317,0.0,0.0,1.0,41.26660650909937
0.092857771,6.660325694,3.480342518,0.000291125,05/01/2023 03:00,01/04/2024 02:00,35.25,4.5,0,0 days,975,01/04/2024 02:00,35.055435,294.7478,5.2845154,0.6075897,5.319329681,186.5588099,190.3494251122538,551.3191808385452,1.0,41.26660650909937
0.00553992,6.698247559,127.2198358,0.000303098,05/01/2023 04:00,01/04/2024 02:00,35.25,4.75,0,0 days,975,01/04/2024 02:00,30.03981,296.5349,3.285492,1.8820038,3.786343353,209.8050528,96.44456130447698,392.43360362669756,1.0,41.26660650909937
0.124319602,6.802876335,2.485050715,0.000298372,05/01/2023 05:00,01/04/2024 02:00,35.25,5.0,0,0 days,975,01/04/2024 02:00,28.91481,297.02124,0.4300232,2.4718475,2.508973897,260.131118,0.0,0.0,1.0,41.26660650909937
